"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Search Functionality","1","0","","0"
"0","","0","Footer Navigation","5","0","","0"
"0","","0","Nested Menu Navigation","4","0","","0"
"0","","0","Shopping Cart","1","0","","0"
"0","","0","Menu Navigation","1","0","","0"
"0","","0","Wishlist Functionality","1","0","","0"
"0","","0","Homepage Slider","1","0","","0"
